id,found
46006394,New Mexico
46006395,New Mexico
46006387,New Mexico
45903782,New Mexico
45903783,New Mexico
45903781,New Mexico
45903780,New Mexico
45903719,New Mexico
45486819,New Mexico
44249550,Maryland
46041295,Pennsylvania
44430266,California
45600408,Ohio
39878339,Ohio
45923603,Ohio
45923600,Ohio
45984667,Ohio
45984665,Ohio
45984632,Ohio
45904804,Ohio
45904795,Ohio
44753004,Taiwan
44752594,Taiwan
44752616,Taiwan
44752359,Taiwan
44752203,Taiwan
44752255,Taiwan
45784537,Taiwan
45784531,Taiwan
41850752,Taiwan
45502015,Taiwan
44486018,Taiwan
44182772,Taiwan
45773500,
45745645,Puerto Rico
45745640,Michigan
45760416,
45759786,
45560047,
37003305,
45983777,
45969705,
45925079,
45925082,
45925080,
45830496,
45811646,
44789736,
44695810,
43623076,
46038666,
46036043,
45737861,
45735824,
45735531,
45735142,
45511825,
44087454,
45705736,
44949453,
45952627,
45724780,
43511476,
44963610,
43384864,
45588395,
45560093,
45797403,
45922985,
45920603,
45895269,
45895117,
45895066,
45895044,
45785404,
45811639,
46040569,
46029124,
45908253,
45908161,
45908093,
45907998,
45907992,
45907975,
45907823,
45907805,
45907698,
45830513,
45830510,
45717690,
45716256,
45509669,Virginia
45138096,Washington
44013163,
41405485,New Mexico
38278533,New Mexico
43675196,New Mexico
37640726,New Mexico
42829233,New Mexico
44590806,
45269403,Georgia
45383974,Georgia
45979761,
45965460,
45965457,
45965452,
45965450,
45889172,
45424879,
45424963,
45300558,
42977919,South Korea
41765814,South Korea
44510615,Georgia
45938685,Georgia
38419337,
44378528,
45881113,
45880493,
45885539,Georgia
45534546,Georgia
45534532,Georgia
45534516,Georgia
46038557,Texas
45977229,Ohio
45463453,
44759410,
44759409,
44718958,
45991032,
45982956,
45982927,
45964450,
45964416,
45964408,
45964216,
45929298,
45929258,
45929227,
45926575,Azerbaijan
45926568,Maryland
45926561,Maryland
45880454,Maryland
45880427,South Carolina
45877931,South Carolina
45877178,New York
45860148,New York
45860138,New York
45860053,New York
45859953,Louisiana
45773068,West Virginia
45773051,China
45772994,China
45772977,China
45772956,Washington
45772940,South Carolina
45758639,Georgia
45670129,Georgia
45501584,
45501566,
45501542,
45263815,
45249846,South Carolina
44853480,Georgia
45967118,Georgia
44119605,Georgia
44537647,
45786737,
42680468,South Carolina
36881961,South Carolina
44989855,Georgia
45321386,Georgia
44752210,Georgia
45812570,Georgia
12134429,
45930690,South Carolina
43741703,
43089521,South Carolina
44392693,
45849057,
44664046,
45905681,
45905659,
45905644,
45880818,
39296429,South Carolina
45249932,South Carolina
42123387,South Carolina
45944104,South Carolina
45149957,South Carolina
45319754,South Carolina
44828661,South Carolina
45903656,Georgia
45189081,
44756414,
44743416,Alabama
43084058,
40869165,
32130377,China
45132907,
42289296,Idaho
44752789,
44752619,
44752544,Florida
44752398,Florida
44971429,Alabama
43529811,Florida
42672307,Tennessee
44307723,
45752912,
45288191,
41954274,
44669651,
45954389,
46005846,New York
45820255,New York
46039523,New York
