661573,2022-04-10,ATL,CIN
663204,2022-04-10,CHC,MIL
662570,2022-04-10,WSH,NYM
661916,2022-04-10,TB,BAL
661738,2022-04-10,MIN,SEA
662887,2022-04-10,DET,CWS
661316,2022-04-10,NYY,BOS
662755,2022-04-10,KC,CLE
661039,2022-04-10,LAA,HOU
662019,2022-04-10,STL,PIT
662122,2022-04-10,SF,MIA
663395,2022-04-10,ARI,SD
661802,2022-04-10,TOR,TEX
661129,2022-04-10,PHI,OAK
662934,2022-04-10,COL,LAD
662588,2022-04-09,WSH,NYM
663205,2022-04-09,CHC,MIL
662123,2022-04-09,SF,MIA
661130,2022-04-09,PHI,OAK
661756,2022-04-09,MIN,SEA
661917,2022-04-09,TB,BAL
661332,2022-04-09,NYY,BOS
662864,2022-04-09,DET,CWS
661803,2022-04-09,TOR,TEX
661040,2022-04-09,LAA,HOU
662020,2022-04-09,STL,PIT
661575,2022-04-09,ATL,CIN
663404,2022-04-09,ARI,SD
662931,2022-04-09,COL,LAD
662765,2022-04-09,KC,CLE
661750,2022-04-08,MIN,SEA
661131,2022-04-08,PHI,OAK
663417,2022-04-08,ARI,SD
662124,2022-04-08,SF,MIA
661918,2022-04-08,TB,BAL
662888,2022-04-08,DET,CWS
662559,2022-04-08,WSH,NYM
661576,2022-04-08,ATL,CIN
662933,2022-04-08,COL,LAD
661333,2022-04-08,NYY,BOS
661041,2022-04-08,LAA,HOU
661782,2022-04-08,TOR,TEX
663418,2022-04-07,ARI,SD
661577,2022-04-07,ATL,CIN
662766,2022-04-07,KC,CLE
661042,2022-04-07,LAA,HOU
663178,2022-04-07,CHC,MIL
662021,2022-04-07,STL,PIT
662571,2022-04-07,WSH,NYM
662627,2022-04-14,LAD,CIN
662237,2022-04-14,SD,ATL
661418,2022-04-14,MIA,PHI
662307,2022-04-14,PIT,WSH
661292,2022-04-14,MIL,STL
662702,2022-04-14,KC,DET
661993,2022-04-14,TEX,LAA
661529,2022-04-14,CWS,SEA
661312,2022-04-14,NYY,TOR
662950,2022-04-14,COL,CHC
661942,2022-04-14,TB,OAK
662885,2022-04-13,DET,BOS
663433,2022-04-13,BAL,MIL
662115,2022-04-13,SF,SD
661643,2022-04-13,PHI,NYM
661943,2022-04-13,TB,OAK
661530,2022-04-13,CWS,SEA
661313,2022-04-13,NYY,TOR
661570,2022-04-13,ATL,WSH
661734,2022-04-13,MIN,LAD
663117,2022-04-13,CIN,CLE
663341,2022-04-13,ARI,HOU
662317,2022-04-13,PIT,CHC
663295,2022-04-12,BAL,MIL
661571,2022-04-12,ATL,WSH
661538,2022-04-12,CWS,SEA
661314,2022-04-12,NYY,TOR
662104,2022-04-12,SF,SD
663088,2022-04-12,CIN,CLE
662017,2022-04-12,STL,KC
661995,2022-04-12,TEX,COL
663411,2022-04-12,ARI,HOU
661038,2022-04-12,LAA,MIA
661636,2022-04-12,PHI,NYM
662862,2022-04-12,DET,BOS
662318,2022-04-12,PIT,CHC
661753,2022-04-12,MIN,LAD
661944,2022-04-12,TB,OAK
661754,2022-04-11,MIN,SEA
661036,2022-04-11,LAA,MIA
661315,2022-04-11,NYY,TOR
662116,2022-04-11,SF,SD
662042,2022-04-11,TEX,COL
663403,2022-04-11,BAL,MIL
661572,2022-04-11,ATL,WSH
662754,2022-04-11,KC,CLE
661915,2022-04-11,TB,OAK
662863,2022-04-11,DET,BOS
661637,2022-04-11,PHI,NYM
662233,2022-04-18,SD,CIN
663197,2022-04-18,CHC,TB
661242,2022-04-18,MIL,PIT
662617,2022-04-18,LAD,ATL
662929,2022-04-18,COL,PHI
662407,2022-04-18,OAK,BAL
663236,2022-04-18,BOS,MIN
662928,2022-04-18,HOU,LAA
662234,2022-04-17,SD,ATL
662294,2022-04-17,PIT,WSH
661415,2022-04-17,MIA,PHI
662618,2022-04-17,LAD,CIN
663365,2022-04-17,BAL,NYY
663132,2022-04-17,CLE,SF
662174,2022-04-17,SEA,HOU
661462,2022-04-17,CWS,TB
661804,2022-04-17,TOR,OAK
662930,2022-04-17,COL,CHC
662625,2022-04-17,NYM,ARI
663308,2022-04-17,BOS,MIN
661226,2022-04-17,MIL,STL
662038,2022-04-17,TEX,LAA
661335,2022-04-16,MIL,STL
663076,2022-04-16,CLE,SF
663238,2022-04-16,BOS,MIN
662235,2022-04-16,SD,ATL
662798,2022-04-16,KC,DET
662206,2022-04-16,SEA,HOU
662966,2022-04-16,COL,CHC
662626,2022-04-16,NYM,ARI
661981,2022-04-16,TEX,LAA
662619,2022-04-16,LAD,CIN
661416,2022-04-16,MIA,PHI
662290,2022-04-16,PIT,WSH
661527,2022-04-16,CWS,TB
661759,2022-04-16,TOR,OAK
663266,2022-04-16,BAL,NYY
662485,2022-04-15,NYM,ARI
662291,2022-04-15,PIT,WSH
662192,2022-04-15,SEA,HOU
662236,2022-04-15,SD,ATL
663357,2022-04-15,BAL,NYY
661528,2022-04-15,CWS,TB
661267,2022-04-15,MIL,STL
662701,2022-04-15,KC,DET
663136,2022-04-15,CLE,SF
661417,2022-04-15,MIA,PHI
663265,2022-04-15,BOS,MIN
662960,2022-04-15,COL,CHC
662620,2022-04-15,LAD,CIN
661792,2022-04-15,TOR,OAK
662014,2022-04-15,TEX,LAA
662230,2022-04-22,SD,LAD
661569,2022-04-22,ATL,MIA
662175,2022-04-22,SEA,KC
661621,2022-04-22,PHI,MIL
661914,2022-04-22,TB,BOS
662390,2022-04-22,OAK,TEX
663195,2022-04-22,CHC,PIT
662922,2022-04-22,HOU,TOR
661311,2022-04-22,NYY,CLE
